term,documentFrequency,termFrequency,score,sourceIds
agents treatment,2,2,4.0,BK0334;BK0351
airapl protein,2,2,4.0,BK0193;BK0228
allowed direct,2,2,4.0,BK0258;BK0369
alone combination,2,2,4.0,BK0251;BK0334
alpha alpha,2,2,4.0,BK0077;BK0199
alpha chain,2,2,4.0,BK0081;BK0303
alpha rmi1,2,2,4.0,BK0024;BK0071
alter cd8,2,2,4.0,BK0040;BK0370
alterations als,2,2,4.0,BK0020;BK0082
alterations mitochondrial,2,2,4.0,BK0197;BK0303
alterations proteins,2,2,4.0,BK0098;BK0331
altered peptide,2,2,4.0,BK0275;BK0341
altered protein,2,2,4.0,BK0068;BK0082
altered signalling,2,2,4.0,BK0011;BK0141
alternatively spliced,2,2,4.0,BK0245;BK0373
although many,2,2,4.0,BK0321;BK0333
aminohexanoyl leucinyl,2,2,4.0,BK0357;BK0364
aminopeptidase erap1,2,2,4.0,BK0218;BK0275
amyloid component,2,2,4.0,BK0257;BK0263
analyzed vitro,2,2,4.0,BK0261;BK0298
ancient dna,2,2,4.0,BK0111;BK0199
antigen presenting,2,2,4.0,BK0357;BK0361
antigen production,2,2,4.0,BK0357;BK0361
apex2 proximity,2,2,4.0,BK0029;BK0030
approximately deaths,2,2,4.0,BK0239;BK0266
approximately residues,2,2,4.0,BK0199;BK0338
ard containing,2,2,4.0,BK0273;BK0316
ard fold,2,2,4.0,BK0273;BK0327
area curve,2,2,4.0,BK0257;BK0294
areas covered,2,2,4.0,BK0002;BK0057
arginine deiminase,2,2,4.0,BK0169;BK0175
arthritis healthy,2,2,4.0,BK0255;BK0312
assessment binding,2,2,4.0,BK0367;BK0369
atg7 hematopoietic,2,2,4.0,BK0200;BK0300
atm phosphorylation,2,2,4.0,BK0265;BK0320
attachment ubiquitin,2,2,4.0,BK0091;BK0323
attractive targets,2,2,4.0,BK0323;BK0338
autoantibody response,2,2,4.0,BK0181;BK0255
autoimmune disease,2,2,4.0,BK0330;BK0341
auxiliary factor,2,2,4.0,BK0224;BK0315
available https,2,2,4.0,BK0099;BK0297
axial skeleton,2,2,4.0,BK0255;BK0257
azidobenzoic acid,2,2,4.0,BK0366;BK0369
back time,2,2,4.0,BK0188;BK0199
background cerebral,2,2,4.0,BK0116;BK0138
background remote,2,2,4.0,BK0052;BK0088
ber cellular,2,2,4.0,BK0202;BK0318
ber dna,2,2,4.0,BK0293;BK0318
beta hydroxylation,2,2,4.0,BK0273;BK0279
better understanding,2,2,4.0,BK0210;BK0242
bind substrates,2,2,4.0,BK0019;BK0322
bind ubiquitin,2,2,4.0,BK0213;BK0296
binding domain,2,2,4.0,BK0001;BK0366
binding fih,2,2,4.0,BK0286;BK0327
binding partner,2,2,4.0,BK0158;BK0194
binding peptide,2,2,4.0,BK0367;BK0369
binding pocket,2,2,4.0,BK0018;BK0328
binding sites,2,2,4.0,BK0244;BK0341
binding tcr,2,2,4.0,BK0367;BK0369
binding ubiquitin,2,2,4.0,BK0012;BK0115
binds tightly,2,2,4.0,BK0018;BK0286
biochemical mass,2,2,4.0,BK0152;BK0169
biochemical structural,2,2,4.0,BK0042;BK0143
biological function,2,2,4.0,BK0210;BK0348
biological outcome,2,2,4.0,BK0232;BK0233
biological significance,2,2,4.0,BK0220;BK0288
biomarker candidate,2,2,4.0,BK0093;BK0239
biomarker candidates,2,2,4.0,BK0124;BK0257
biomarkers amyotrophic,2,2,4.0,BK0027;BK0122
biomarkers therapeutic,2,2,4.0,BK0068;BK0122
biosynthetic pathway,2,2,4.0,BK0117;BK0240
blm interacts,2,2,4.0,BK0024;BK0071
blood monocytes,2,2,4.0,BK0259;BK0312
bond formation,2,2,4.0,BK0033;BK0143
bone joint,2,2,4.0,BK0154;BK0227
bone marrow,2,2,4.0,BK0300;BK0342
brain dead,2,2,4.0,BK0052;BK0070
brain tumour,2,2,4.0,BK0039;BK0048
break dsb,2,2,4.0,BK0110;BK0142
breast cancers,2,2,4.0,BK0077;BK0209
broad array,2,2,4.0,BK0004;BK0331
broad implications,2,2,4.0,BK0010;BK0026
broad range,2,2,4.0,BK0072;BK0316
bromodomain reader,2,2,4.0,BK0153;BK0175
calcium flux,2,2,4.0,BK0045;BK0085
calcium mobilization,2,2,4.0,BK0367;BK0368
cancer growth,2,2,4.0,BK0095;BK0321
cancer immunological,2,2,4.0,BK0227;BK0283
cancer leading,2,2,4.0,BK0003;BK0037
cancer liver,2,2,4.0,BK0113;BK0123
cancer neurodegenerative,2,2,4.0,BK0227;BK0283
cancer xenografts,2,2,4.0,BK0155;BK0211
candidate substrates,2,2,4.0,BK0073;BK0321
capturing transient,2,2,4.0,BK0006;BK0316
catalyses hydroxylation,2,2,4.0,BK0245;BK0279
catalytic cysteine,2,2,4.0,BK0018;BK0073
catalytic subunit,2,2,4.0,BK0178;BK0194
catalytically active,2,2,4.0,BK0178;BK0364
catalyzes prolyl,2,2,4.0,BK0223;BK0225
cathepsin cts,2,2,4.0,BK0100;BK0356
cause cancer,2,2,4.0,BK0003;BK0241
cause death,2,2,4.0,BK0137;BK0219
cause infections,2,2,4.0,BK0093;BK0230
cause muscle,2,2,4.0,BK0083;BK0104
caused mutation,2,2,4.0,BK0040;BK0214
caused mutations,2,2,4.0,BK0129;BK0267
causes accumulation,2,2,4.0,BK0229;BK0237
causes increased,2,2,4.0,BK0252;BK0293
cd4 sup,2,2,4.0,BK0015;BK0080
cd8 ctl,2,2,4.0,BK0367;BK0368
cd8 participation,2,2,4.0,BK0367;BK0368
cd8 sup,2,2,4.0,BK0040;BK0080
cell adhesion,2,2,4.0,BK0003;BK0317
cell count,2,2,4.0,BK0022;BK0124
cell dysfunction,2,2,4.0,BK0016;BK0303
cell epitopes,2,2,4.0,BK0125;BK0371
cell function,2,2,4.0,BK0016;BK0333
cell loss,2,2,4.0,BK0177;BK0347
cell lysis,2,2,4.0,BK0140;BK0340
cell nuclear,2,2,4.0,BK0132;BK0267
cell signalling,2,2,4.0,BK0017;BK0322
cells activate,2,2,4.0,BK0155;BK0349
cells coincides,2,2,4.0,BK0101;BK0233
cells dna,2,2,4.0,BK0084;BK0202
cells expressing,2,2,4.0,BK0208;BK0232
cells hdac,2,2,4.0,BK0084;BK0196
cells isolated,2,2,4.0,BK0214;BK0341
cells leads,2,2,4.0,BK0160;BK0300
cells plays,2,2,4.0,BK0246;BK0324
cells potential,2,2,4.0,BK0260;BK0300
cells prevents,2,2,4.0,BK0101;BK0157
cells quantitative,2,2,4.0,BK0309;BK0321
cells reduced,2,2,4.0,BK0083;BK0252
cells rely,2,2,4.0,BK0072;BK0100
cells resistant,2,2,4.0,BK0251;BK0334
cells still,2,2,4.0,BK0071;BK0112
cells substantially,2,2,4.0,BK0128;BK0204
cells targets,2,2,4.0,BK0164;BK0229
cells tissues,2,2,4.0,BK0098;BK0271
cells vitro,2,2,4.0,BK0155;BK0260
cells yet,2,2,4.0,BK0119;BK0159
cellular assays,2,2,4.0,BK0025;BK0256
cellular matrix,2,2,4.0,BK0035;BK0150
cellular metabolism,2,2,4.0,BK0016;BK0229
cellular pathway,2,2,4.0,BK0202;BK0318
cellular signalling,2,2,4.0,BK0043;BK0141
cellular target,2,2,4.0,BK0046;BK0056
cerebral injury,2,2,4.0,BK0047;BK0116
chains lys,2,2,4.0,BK0002;BK0317
changes increased,2,2,4.0,BK0005;BK0329
changes mitochondrial,2,2,4.0,BK0148;BK0197
changes protein,2,2,4.0,BK0065;BK0312
changes seminal,2,2,4.0,BK0064;BK0098
characterize proteases,2,2,4.0,BK0348;BK0356
characterized putative,2,2,4.0,BK0169;BK0285
checkpoint inhibitors,2,2,4.0,BK0107;BK0132
chemical biology,2,2,4.0,BK0091;BK0153
chemical inhibition,2,2,4.0,BK0074;BK0092
chemical probes,2,2,4.0,BK0046;BK0346
chemotherapy radiotherapy,2,2,4.0,BK0062;BK0124
children severe,2,2,4.0,BK0219;BK0239
chromatin association,2,2,4.0,BK0162;BK0175
chromatin domains,2,2,4.0,BK0190;BK0231
chromatography collision,2,2,4.0,BK0281;BK0309
chromatography coupled,2,2,4.0,BK0282;BK0312
chronic obstructive,2,2,4.0,BK0120;BK0206
class histocompatibility,2,2,4.0,BK0218;BK0314
class ligand,2,2,4.0,BK0357;BK0361
cleavage products,2,2,4.0,BK0325;BK0357
cleavage sites,2,2,4.0,BK0302;BK0321
cleave ubiquitin,2,2,4.0,BK0179;BK0213
clinical radiological,2,2,4.0,BK0124;BK0257
clinical syndrome,2,2,4.0,BK0068;BK0122
clinical trials,2,2,4.0,BK0148;BK0342
coagulation cascade,2,2,4.0,BK0137;BK0138
cofactor tetrahydrobiopterin,2,2,4.0,BK0112;BK0141
coincides enhanced,2,2,4.0,BK0153;BK0233
collagen type,2,2,4.0,BK0123;BK0185
colon cancer,2,2,4.0,BK0095;BK0113
colonic epithelium,2,2,4.0,BK0101;BK0322
colony forming,2,2,4.0,BK0164;BK0343
combined proteomic,2,2,4.0,BK0078;BK0352
common feature,2,2,4.0,BK0209;BK0323
common inflammatory,2,2,4.0,BK0255;BK0257
complement pathways,2,2,4.0,BK0068;BK0136
complement system,2,2,4.0,BK0260;BK0356
complex comprising,2,2,4.0,BK0024;BK0119
complex covalent,2,2,4.0,BK0018;BK0213
complex dissolves,2,2,4.0,BK0024;BK0071
complex lubac,2,2,4.0,BK0147;BK0194
complex p97,2,2,4.0,BK0090;BK0228
complex peptide,2,2,4.0,BK0053;BK0273
complex responsible,2,2,4.0,BK0115;BK0265
complexes prc1,2,2,4.0,BK0180;BK0231
components extracellular,2,2,4.0,BK0311;BK0321
components ubiquitin,2,2,4.0,BK0012;BK0304
composed amino,2,2,4.0,BK0372;BK0373
compounds target,2,2,4.0,BK0087;BK0165
comprehensive understanding,2,2,4.0,BK0021;BK0267
conclusions indicate,2,2,4.0,BK0088;BK0138
conclusions proteomic,2,2,4.0,BK0082;BK0312
concomitant reduced,2,2,4.0,BK0045;BK0104
condition characterized,2,2,4.0,BK0078;BK0236
conditioning ric,2,2,4.0,BK0052;BK0088
conditions cancer,2,2,4.0,BK0100;BK0203
conditions hydroxylation,2,2,4.0,BK0223;BK0286
conducted mass,2,2,4.0,BK0023;BK0219
conformational change,2,2,4.0,BK0358;BK0360
conjugated target,2,2,4.0,BK0009;BK0212
conjugating enzymes,2,2,4.0,BK0141;BK0355
conserved lysine,2,2,4.0,BK0096;BK0143
conserved regions,2,2,4.0,BK0204;BK0217
considerable interest,2,2,4.0,BK0120;BK0223
consistent reported,2,2,4.0,BK0111;BK0114
constitutes powerful,2,2,4.0,BK0125;BK0312
containing proteins,2,2,4.0,BK0273;BK0316
contribute regulation,2,2,4.0,BK0044;BK0320
contribute tumor,2,2,4.0,BK0321;BK0328
contribute understanding,2,2,4.0,BK0012;BK0038
control cases,2,2,4.0,BK0003;BK0063
controlling protein,2,2,4.0,BK0028;BK0192
controls characterized,2,2,4.0,BK0081;BK0281
cord versus,2,2,4.0,BK0020;BK0164
core complex,2,2,4.0,BK0082;BK0130
core facilities,2,2,4.0,BK0274;BK0297
correlated antibody,2,2,4.0,BK0080;BK0151
correlated disease,2,2,4.0,BK0122;BK0236
cortical neurons,2,2,4.0,BK0210;BK0362
coupled electrospray,2,2,4.0,BK0282;BK0312
covalent inhibitor,2,2,4.0,BK0018;BK0213
covalent inhibitors,2,2,4.0,BK0018;BK0105
covalently modify,2,2,4.0,BK0096;BK0346
coverage protein,2,2,4.0,BK0132;BK0159
critically dependent,2,2,4.0,BK0072;BK0370
cultured cells,2,2,4.0,BK0301;BK0339
cycle checkpoint,2,2,4.0,BK0146;BK0179
cyclin mediated,2,2,4.0,BK0026;BK0146
cyclin proteins,2,2,4.0,BK0019;BK0146
cysteine protease,2,2,4.0,BK0338;BK0356
cysteine residue,2,2,4.0,BK0073;BK0338
cytochrome reductase,2,2,4.0,BK0149;BK0303
cytokine genes,2,2,4.0,BK0175;BK0196
cytoplasmic inclusions,2,2,4.0,BK0020;BK0063
cytotoxic cells,2,2,4.0,BK0089;BK0204
damage repair,2,2,4.0,BK0212;BK0269
damage upon,2,2,4.0,BK0069;BK0142
dcs cells,2,2,4.0,BK0163;BK0298
deacetylase hdac,2,2,4.0,BK0196;BK0232
deacetylase inhibition,2,2,4.0,BK0104;BK0158
dead donor,2,2,4.0,BK0052;BK0070
death children,2,2,4.0,BK0137;BK0219
death dcd,2,2,4.0,BK0049;BK0075
decreased cell,2,2,4.0,BK0153;BK0293
deficiency ber,2,2,4.0,BK0202;BK0293
deficient mice,2,2,4.0,BK0119;BK0237
define regulatory,2,2,4.0,BK0164;BK0232
degradation mechanisms,2,2,4.0,BK0049;BK0300
degradation proteasome,2,2,4.0,BK0108;BK0193
deiminase pad4,2,2,4.0,BK0123;BK0175
demethylases kdms,2,2,4.0,BK0105;BK0156
dependent oxygenases,2,2,4.0,BK0223;BK0270
depends largely,2,2,4.0,BK0234;BK0357
depletion protease,2,2,4.0,BK0045;BK0321
derivative variants,2,2,4.0,BK0368;BK0369
describe evidence,2,2,4.0,BK0179;BK0224
described date,2,2,4.0,BK0120;BK0364
deubiquitinase dub,2,2,4.0,BK0035;BK0147
development therapeutics,2,2,4.0,BK0013;BK0210
dia acquisition,2,2,4.0,BK0027;BK0046
diagnostic value,2,2,4.0,BK0138;BK0257
differential protein,2,2,4.0,BK0124;BK0221
differentially abundant,2,2,4.0,BK0189;BK0210
diffuse large,2,2,4.0,BK0196;BK0334
direct link,2,2,4.0,BK0223;BK0262
discovered proteins,2,2,4.0,BK0051;BK0149
discovery biomarkers,2,2,4.0,BK0051;BK0186
disease healthy,2,2,4.0,BK0068;BK0131
dissolves double,2,2,4.0,BK0024;BK0071
diverges normal,2,2,4.0,BK0072;BK0208
diverse set,2,2,4.0,BK0217;BK0348
dna binding,2,2,4.0,BK0184;BK0246
dna breaks,2,2,4.0,BK0026;BK0216
dna protein,2,2,4.0,BK0320;BK0344
dna rna,2,2,4.0,BK0033;BK0331
domain factor,2,2,4.0,BK0225;BK0327
domain tmd,2,2,4.0,BK0085;BK0117
donor animals,2,2,4.0,BK0140;BK0260
donors acute,2,2,4.0,BK0014;BK0259
double holliday,2,2,4.0,BK0024;BK0071
downstream target,2,2,4.0,BK0252;BK0301
drug candidates,2,2,4.0,BK0272;BK0324
drug resistance,2,2,4.0,BK0077;BK0334
drug target,2,2,4.0,BK0067;BK0227
drug targets,2,2,4.0,BK0012;BK0028
druggable targets,2,2,4.0,BK0048;BK0137
dsbs repair,2,2,4.0,BK0026;BK0110
dub activity,2,2,4.0,BK0055;BK0272
dub inhibitor,2,2,4.0,BK0035;BK0272
dub selectivity,2,2,4.0,BK0103;BK0234
dubs cellular,2,2,4.0,BK0035;BK0056
dubs muscle,2,2,4.0,BK0028;BK0045
dying cells,2,2,4.0,BK0201;BK0259
dynamics simulations,2,2,4.0,BK0022;BK0188
dysregulated metabolism,2,2,4.0,BK0160;BK0237
early stage,2,2,4.0,BK0070;BK0323
efficiency mhc,2,2,4.0,BK0357;BK0361
efficient epitope,2,2,4.0,BK0040;BK0204
ejaculate function,2,2,4.0,BK0064;BK0098
electron microscopy,2,2,4.0,BK0005;BK0145
electrospray ionisation,2,2,4.0,BK0282;BK0312
elevated proteins,2,2,4.0,BK0070;BK0136
embryonic fibroblasts,2,2,4.0,BK0265;BK0269
emerging evidence,2,2,4.0,BK0113;BK0182
encoding krebs,2,2,4.0,BK0237;BK0271
endogenous proteins,2,2,4.0,BK0096;BK0273
endothelial cell,2,2,4.0,BK0164;BK0305
energy switching,2,2,4.0,BK0281;BK0312
enolase vimentin,2,2,4.0,BK0181;BK0206
enormous complexity,2,2,4.0,BK0091;BK0295
enrichment ubiquitinated,2,2,4.0,BK0055;BK0249
entry point,2,2,4.0,BK0248;BK0306
entry points,2,2,4.0,BK0067;BK0295
environmental factors,2,2,4.0,BK0169;BK0295
enzyme activity,2,2,4.0,BK0103;BK0213
enzyme class,2,2,4.0,BK0046;BK0359
enzyme involved,2,2,4.0,BK0275;BK0293
enzyme kinetics,2,2,4.0,BK0018;BK0042
enzyme specificity,2,2,4.0,BK0234;BK0348
enzyme usp7,2,2,4.0,BK0251;BK0253
enzymes linked,2,2,4.0,BK0211;BK0361
enzymes substrates,2,2,4.0,BK0234;BK0316
epigenetic modifications,2,2,4.0,BK0084;BK0201
epitope discovery,2,2,4.0,BK0125;BK0204
epitope modification,2,2,4.0,BK0367;BK0369
escape mechanisms,2,2,4.0,BK0066;BK0361
essential cell,2,2,4.0,BK0019;BK0072
essential cellular,2,2,4.0,BK0085;BK0293
evs extracted,2,2,4.0,BK0082;BK0145
exert critical,2,2,4.0,BK0298;BK0330
existence additional,2,2,4.0,BK0033;BK0328
exosomes isolated,2,2,4.0,BK0081;BK0210
expand knowledge,2,2,4.0,BK0176;BK0234
experiments confirmed,2,2,4.0,BK0151;BK0352
expert opinion,2,2,4.0,BK0002;BK0057
exploited cancer,2,2,4.0,BK0059;BK0090
exploited future,2,2,4.0,BK0040;BK0298
exposed glucose,2,2,4.0,BK0160;BK0303
expressing cells,2,2,4.0,BK0079;BK0232
expression characteristic,2,2,4.0,BK0123;BK0145
expression inducible,2,2,4.0,BK0112;BK0304
expression multiple,2,2,4.0,BK0260;BK0308
expression proteins,2,2,4.0,BK0241;BK0308
expression remains,2,2,4.0,BK0084;BK0127
expression sarcomeric,2,2,4.0,BK0045;BK0083
extracellular vesicles,2,2,4.0,BK0082;BK0145
facilitate future,2,2,4.0,BK0212;BK0333
factor atf3,2,2,4.0,BK0326;BK0334
factor bax,2,2,4.0,BK0344;BK0347
factor factor,2,2,4.0,BK0288;BK0316
factor rheumatoid,2,2,4.0,BK0151;BK0206
factors implicated,2,2,4.0,BK0252;BK0298
falciparum infection,2,2,4.0,BK0138;BK0239
family deubiquitinating,2,2,4.0,BK0211;BK0359
feature selection,2,2,4.0,BK0003;BK0038
female physiology,2,2,4.0,BK0064;BK0114
female sperm,2,2,4.0,BK0064;BK0098
fh1 murine,2,2,4.0,BK0237;BK0271
fih hydroxylation,2,2,4.0,BK0279;BK0327
finally marked,2,2,4.0,BK0095;BK0150
findings imply,2,2,4.0,BK0276;BK0316
findings thus,2,2,4.0,BK0072;BK0216
findings uncover,2,2,4.0,BK0031;BK0048
finger protein,2,2,4.0,BK0167;BK0246
flanking region,2,2,4.0,BK0215;BK0289
flanking regions,2,2,4.0,BK0040;BK0289
fluid protein,2,2,4.0,BK0021;BK0081
flux sterol,2,2,4.0,BK0085;BK0117
fork progression,2,2,4.0,BK0178;BK0184
form binding,2,2,4.0,BK0018;BK0366
form btr,2,2,4.0,BK0024;BK0071
forming cells,2,2,4.0,BK0131;BK0164
forms complex,2,2,4.0,BK0048;BK0228
fractions purified,2,2,4.0,BK0311;BK0333
fragment ions,2,2,4.0,BK0274;BK0313
free proteomics,2,2,4.0,BK0149;BK0171
fruit fly,2,2,4.0,BK0064;BK0356
fully functional,2,2,4.0,BK0086;BK0220
fumarate act,2,2,4.0,BK0229;BK0271
functional consequence,2,2,4.0,BK0319;BK0320
functional response,2,2,4.0,BK0240;BK0367
functions regulating,2,2,4.0,BK0010;BK0146
fundamental regulating,2,2,4.0,BK0002;BK0112
future cancer,2,2,4.0,BK0155;BK0271
future development,2,2,4.0,BK0298;BK0333
gene atg7,2,2,4.0,BK0200;BK0300
gene silencing,2,2,4.0,BK0153;BK0180
general cellular,2,2,4.0,BK0087;BK0109
generate map,2,2,4.0,BK0063;BK0099
generation antigenic,2,2,4.0,BK0324;BK0361
genes susceptible,2,2,4.0,BK0162;BK0190
genetic ablation,2,2,4.0,BK0231;BK0271
genetic alterations,2,2,4.0,BK0011;BK0271
genetic diseases,2,2,4.0,BK0135;BK0223
genetic factors,2,2,4.0,BK0111;BK0218
genome integrity,2,2,4.0,BK0216;BK0293
genome sequencing,2,2,4.0,BK0163;BK0346
global protein,2,2,4.0,BK0153;BK0308
governs biological,2,2,4.0,BK0232;BK0233
greatly enhance,2,2,4.0,BK0346;BK0364
hallmark amyotrophic,2,2,4.0,BK0020;BK0063
hazard ratio,2,2,4.0,BK0027;BK0122
health burden,2,2,4.0,BK0076;BK0189
healthy disease,2,2,4.0,BK0027;BK0122
healthy subjects,2,2,4.0,BK0210;BK0308
healthy tissue,2,2,4.0,BK0113;BK0150
helicase blm,2,2,4.0,BK0024;BK0071
hematopoietic cells,2,2,4.0,BK0200;BK0300
hif hydroxylation,2,2,4.0,BK0286;BK0327
hif regulated,2,2,4.0,BK0277;BK0327
hif system,2,2,4.0,BK0268;BK0288
highly potent,2,2,4.0,BK0156;BK0364
highly specific,2,2,4.0,BK0098;BK0278
histone methylation,2,2,4.0,BK0059;BK0180
histones mechanism,2,2,4.0,BK0169;BK0309
holliday junctions,2,2,4.0,BK0024;BK0071
homology known,2,2,4.0,BK0338;BK0359
human brain,2,2,4.0,BK0039;BK0063
human dcs,2,2,4.0,BK0170;BK0259
human homolog,2,2,4.0,BK0223;BK0315
human kidneys,2,2,4.0,BK0008;BK0075
human mouse,2,2,4.0,BK0200;BK0273
human mutant,2,2,4.0,BK0079;BK0261
human neurodegenerative,2,2,4.0,BK0013;BK0249
human otubain,2,2,4.0,BK0213;BK0317
human tumor,2,2,4.0,BK0260;BK0287
humoral immune,2,2,4.0,BK0068;BK0260
hydratase predispose,2,2,4.0,BK0229;BK0271
hydrolysis essential,2,2,4.0,BK0029;BK0226
hydrophobic patch,2,2,4.0,BK0019;BK0193
hydroxylated fih,2,2,4.0,BK0273;BK0279
hydroxylation specific,2,2,4.0,BK0279;BK0327
hydroxylation status,2,2,4.0,BK0223;BK0327
identification peptides,2,2,4.0,BK0176;BK0297
iii alpha,2,2,4.0,BK0024;BK0071
immune sensing,2,2,4.0,BK0097;BK0170
immunodominant viral,2,2,4.0,BK0066;BK0218
immunofluorescence flow,2,2,4.0,BK0102;BK0140
immunosorbent assay,2,2,4.0,BK0151;BK0281
implicated development,2,2,4.0,BK0116;BK0322
implicated diverse,2,2,4.0,BK0225;BK0252
implications future,2,2,4.0,BK0289;BK0340
implications understanding,2,2,4.0,BK0010;BK0153
increase expression,2,2,4.0,BK0133;BK0308
increased activity,2,2,4.0,BK0252;BK0326
increased als,2,2,4.0,BK0063;BK0068
increased cell,2,2,4.0,BK0153;BK0196
increased efficiency,2,2,4.0,BK0308;BK0368
increased interest,2,2,4.0,BK0002;BK0034
increased sensitivity,2,2,4.0,BK0196;BK0321
increased serum,2,2,4.0,BK0129;BK0236
increases throughput,2,2,4.0,BK0056;BK0337
independent experiments,2,2,4.0,BK0108;BK0281
induced apoptosis,2,2,4.0,BK0244;BK0334
induced rats,2,2,4.0,BK0347;BK0351
induction response,2,2,4.0,BK0055;BK0094
induction specific,2,2,4.0,BK0065;BK0182
infection cells,2,2,4.0,BK0168;BK0204
inflammatory gene,2,2,4.0,BK0061;BK0175
inflammatory macrophages,2,2,4.0,BK0050;BK0112
inflammatory rheumatic,2,2,4.0,BK0255;BK0257
information future,2,2,4.0,BK0025;BK0295
inhibiting factor,2,2,4.0,BK0316;BK0327
inhibition assays,2,2,4.0,BK0151;BK0181
inhibition causes,2,2,4.0,BK0069;BK0196
inhibition mitochondrial,2,2,4.0,BK0018;BK0237
inhibition types,2,2,4.0,BK0324;BK0357
inhibitor apoptosis,2,2,4.0,BK0041;BK0158
inhibitor profiling,2,2,4.0,BK0035;BK0270
injury donation,2,2,4.0,BK0049;BK0116
insights mechanisms,2,2,4.0,BK0070;BK0214
insulin secretion,2,2,4.0,BK0160;BK0303
interaction partners,2,2,4.0,BK0203;BK0317
interactions host,2,2,4.0,BK0163;BK0306
interactions tcr,2,2,4.0,BK0368;BK0370
interacts topoisomerase,2,2,4.0,BK0024;BK0071
intracellular pathogens,2,2,4.0,BK0176;BK0204
intracellular protein,2,2,4.0,BK0311;BK0365
intracellular proteins,2,2,4.0,BK0145;BK0316
introduction proteomic,2,2,4.0,BK0003;BK0057
invasion metastasis,2,2,4.0,BK0209;BK0302
inversely correlated,2,2,4.0,BK0177;BK0215
involved cellular,2,2,4.0,BK0043;BK0205
involved host,2,2,4.0,BK0014;BK0058
involved inflammation,2,2,4.0,BK0043;BK0312
involved regulation,2,2,4.0,BK0269;BK0315
involved ubiquitin,2,2,4.0,BK0054;BK0256
involving multiple,2,2,4.0,BK0091;BK0122
ionization mass,2,2,4.0,BK0292;BK0337
isg15 gene,2,2,4.0,BK0058;BK0317
isg15 protein,2,2,4.0,BK0045;BK0062
isolated cells,2,2,4.0,BK0260;BK0345
isolated characterized,2,2,4.0,BK0235;BK0373
isopeptide bond,2,2,4.0,BK0042;BK0313
january december,2,2,4.0,BK0023;BK0173
jmjd6 regulation,2,2,4.0,BK0224;BK0315
joints patients,2,2,4.0,BK0181;BK0311
kappa signaling,2,2,4.0,BK0147;BK0194
key many,2,2,4.0,BK0045;BK0094
key metabolic,2,2,4.0,BK0095;BK0100
key proteins,2,2,4.0,BK0116;BK0253
kidney function,2,2,4.0,BK0008;BK0116
kidney grafts,2,2,4.0,BK0049;BK0052
kidney injury,2,2,4.0,BK0136;BK0197
kidney slices,2,2,4.0,BK0032;BK0047
kidneys subjected,2,2,4.0,BK0032;BK0136
kidneys urine,2,2,4.0,BK0075;BK0281
kinase substrates,2,2,4.0,BK0290;BK0322
kinase target,2,2,4.0,BK0320;BK0322
kinases cdks,2,2,4.0,BK0107;BK0280
known often,2,2,4.0,BK0021;BK0322
known regulate,2,2,4.0,BK0084;BK0134
label free,2,2,4.0,BK0149;BK0171
labeling amino,2,2,4.0,BK0243;BK0316
lactate dehydrogenase,2,2,4.0,BK0100;BK0239
laparoscopic surgery,2,2,4.0,BK0081;BK0292
large amounts,2,2,4.0,BK0112;BK0168
large lymphoma,2,2,4.0,BK0196;BK0334
large number,2,2,4.0,BK0131;BK0263
large repertoire,2,2,4.0,BK0131;BK0263
laser desorption,2,2,4.0,BK0292;BK0294
lead better,2,2,4.0,BK0210;BK0242
leading cell,2,2,4.0,BK0024;BK0300
leading identification,2,2,4.0,BK0159;BK0321
leading increased,2,2,4.0,BK0034;BK0244
learning skills,2,2,4.0,BK0139;BK0238
learning spelling,2,2,4.0,BK0139;BK0238
led identification,2,2,4.0,BK0335;BK0336
less efficient,2,2,4.0,BK0357;BK0369
leucinyl vinyl,2,2,4.0,BK0357;BK0364
leukaemia cml,2,2,4.0,BK0043;BK0062
leukemia virus,2,2,4.0,BK0001;BK0009
ligand binding,2,2,4.0,BK0006;BK0369
light mechanisms,2,2,4.0,BK0013;BK0282
link degradation,2,2,4.0,BK0055;BK0302
linked ubiquitin,2,2,4.0,BK0115;BK0317
links signaling,2,2,4.0,BK0182;BK0301
list proteins,2,2,4.0,BK0038;BK0113
loss activity,2,2,4.0,BK0229;BK0237
loss atg7,2,2,4.0,BK0200;BK0300
loss autophagy,2,2,4.0,BK0200;BK0300
lymphoblastoid cell,2,2,4.0,BK0125;BK0345
lymphocyte ctl,2,2,4.0,BK0361;BK0370
lysine methylation,2,2,4.0,BK0169;BK0280
main outcome,2,2,4.0,BK0081;BK0292
malaria remains,2,2,4.0,BK0137;BK0266
malaria severe,2,2,4.0,BK0137;BK0138
male drosophila,2,2,4.0,BK0021;BK0114
male female,2,2,4.0,BK0021;BK0098
mammalian cell,2,2,4.0,BK0323;BK0347
mammalian counterparts,2,2,4.0,BK0323;BK0356
many bacteria,2,2,4.0,BK0250;BK0343
many changes,2,2,4.0,BK0208;BK0304
many viruses,2,2,4.0,BK0058;BK0323
mapped mass,2,2,4.0,BK0151;BK0181
marked changes,2,2,4.0,BK0148;BK0150
marked loss,2,2,4.0,BK0148;BK0304
markedly reduced,2,2,4.0,BK0129;BK0177
markers oxidative,2,2,4.0,BK0032;BK0197
mass proteomic,2,2,4.0,BK0020;BK0219
