term,documentFrequency,termFrequency,documentShare,score,sourceIds
components,22,31,0.058981,110.976671,BK0012;BK0086;BK0089;BK0092;BK0097;BK0141;BK0166;BK0172
central,23,26,0.061662,110.569163,BK0022;BK0025;BK0057;BK0069;BK0080;BK0093;BK0100;BK0106
mitochondrial,19,54,0.050938,110.339744,BK0007;BK0018;BK0020;BK0042;BK0075;BK0092;BK0097;BK0112
mice,21,36,0.0563,110.206478,BK0017;BK0028;BK0079;BK0119;BK0134;BK0137;BK0160;BK0165
alterations,22,29,0.058981,108.992319,BK0005;BK0011;BK0020;BK0029;BK0043;BK0048;BK0049;BK0068
time,22,29,0.058981,108.992319,BK0008;BK0015;BK0056;BK0065;BK0122;BK0159;BK0164;BK0176
healthy,21,34,0.0563,108.568425,BK0013;BK0014;BK0027;BK0068;BK0113;BK0122;BK0131;BK0136
endogenous,23,24,0.061662,108.110114,BK0016;BK0018;BK0031;BK0056;BK0061;BK0090;BK0096;BK0103
plays,23,24,0.061662,108.110114,BK0009;BK0023;BK0064;BK0094;BK0097;BK0104;BK0134;BK0167
independent,22,28,0.058981,107.951593,BK0014;BK0015;BK0038;BK0045;BK0093;BK0106;BK0108;BK0124
intracellular,22,28,0.058981,107.951593,BK0001;BK0043;BK0057;BK0082;BK0109;BK0125;BK0141;BK0145
selectivity,22,28,0.058981,107.951593,BK0018;BK0025;BK0035;BK0042;BK0046;BK0056;BK0076;BK0092
dubs,20,40,0.053619,107.846348,BK0009;BK0028;BK0033;BK0035;BK0045;BK0046;BK0055;BK0056
performed,22,27,0.058981,106.875582,BK0005;BK0008;BK0038;BK0045;BK0050;BK0061;BK0068;BK0082
abundance,21,32,0.0563,106.83672,BK0020;BK0027;BK0039;BK0070;BK0074;BK0085;BK0100;BK0106
regulate,23,23,0.061662,106.808692,BK0009;BK0017;BK0041;BK0044;BK0084;BK0085;BK0092;BK0095
detected,22,26,0.058981,105.761808,BK0031;BK0047;BK0052;BK0089;BK0103;BK0111;BK0125;BK0150
structure,21,30,0.0563,105.0,BK0001;BK0006;BK0013;BK0017;BK0025;BK0039;BK0084;BK0102
virus,20,36,0.053619,104.95855,BK0001;BK0009;BK0015;BK0038;BK0054;BK0093;BK0125;BK0168
