term,documentFrequency,termFrequency,documentShare,score,sourceIds
mbd3,1,1,0.002681,1.584963,BK0121
mboemo,1,1,0.002681,1.584963,BK0099
mdmx,1,1,0.002681,1.584963,BK0278
me1,1,1,0.002681,1.584963,BK0218
meaningful,1,1,0.002681,1.584963,BK0103
meanwhile,1,1,0.002681,1.584963,BK0061
measurable,1,1,0.002681,1.584963,BK0150
mechanosensitivity,1,1,0.002681,1.584963,BK0017
medieval,1,1,0.002681,1.584963,BK0111
medulloblastomas,1,1,0.002681,1.584963,BK0048
meets,1,1,0.002681,1.584963,BK0046
meier,1,1,0.002681,1.584963,BK0027
meiotic,1,1,0.002681,1.584963,BK0158
mek,1,1,0.002681,1.584963,BK0310
melanomas,1,1,0.002681,1.584963,BK0244
melioidosis,1,1,0.002681,1.584963,BK0131
mellitus,1,1,0.002681,1.584963,BK0171
mendelian,1,1,0.002681,1.584963,BK0295
menstrual,1,1,0.002681,1.584963,BK0011
menstruation,1,1,0.002681,1.584963,BK0078
merit,1,1,0.002681,1.584963,BK0294
mescs,1,1,0.002681,1.584963,BK0121
mesenchymal,1,1,0.002681,1.584963,BK0261
mesenteric,1,1,0.002681,1.584963,BK0332
meshwork,1,1,0.002681,1.584963,BK0113
met,1,1,0.002681,1.584963,BK0219
met1,1,1,0.002681,1.584963,BK0115
metabolically,1,1,0.002681,1.584963,BK0075
metabolomes,1,1,0.002681,1.584963,BK0248
metal,1,1,0.002681,1.584963,BK0277
metalloproteinases,1,1,0.002681,1.584963,BK0124
metazoan,1,1,0.002681,1.584963,BK0315
metazoans,1,1,0.002681,1.584963,BK0228
methionine1,1,1,0.002681,1.584963,BK0115
methylarginines,1,1,0.002681,1.584963,BK0169
methylating,1,1,0.002681,1.584963,BK0319
methylome,1,1,0.002681,1.584963,BK0205
methylsilac,1,1,0.002681,1.584963,BK0205
mic60,1,1,0.002681,1.584963,BK0097
michael,1,1,0.002681,1.584963,BK0087
microbe,1,1,0.002681,1.584963,BK0163
microbiome,1,1,0.002681,1.584963,BK0163
microcarrier,1,1,0.002681,1.584963,BK0064
micronucleation,1,1,0.002681,1.584963,BK0024
micronuclei,1,1,0.002681,1.584963,BK0110
microscopically,1,1,0.002681,1.584963,BK0063
microvesicle,1,1,0.002681,1.584963,BK0210
migraine,1,1,0.002681,1.584963,BK0031
milder,1,1,0.002681,1.584963,BK0080
mildly,1,1,0.002681,1.584963,BK0148
milestone,1,1,0.002681,1.584963,BK0173
milligrams,1,1,0.002681,1.584963,BK0207
millisecond,1,1,0.002681,1.584963,BK0006
mimicry,1,1,0.002681,1.584963,BK0009
mina53,1,1,0.002681,1.584963,BK0264
minicells,1,1,0.002681,1.584963,BK0006
mining,1,1,0.002681,1.584963,BK0186
minute,1,1,0.002681,1.584963,BK0278
mirrored,1,1,0.002681,1.584963,BK0052
mis,1,1,0.002681,1.584963,BK0013
mismatch,1,1,0.002681,1.584963,BK0086
miss,1,1,0.002681,1.584963,BK0114
missing,1,1,0.002681,1.584963,BK0046
mistargeted,1,1,0.002681,1.584963,BK0195
mitigate,1,1,0.002681,1.584963,BK0014
mitogen,1,1,0.002681,1.584963,BK0345
mm1,1,1,0.002681,1.584963,BK0342
mmcat1,1,1,0.002681,1.584963,BK0001
mobility,1,1,0.002681,1.584963,BK0164
modest,1,1,0.002681,1.584963,BK0148
moesin,1,1,0.002681,1.584963,BK0308
moiety,1,1,0.002681,1.584963,BK0073
molbiol,1,1,0.002681,1.584963,BK0297
molds,1,1,0.002681,1.584963,BK0278
molecularly,1,1,0.002681,1.584963,BK0098
moloney,1,1,0.002681,1.584963,BK0009
monohydroxylated,1,1,0.002681,1.584963,BK0223
monomers,1,1,0.002681,1.584963,BK0143
monophyletic,1,1,0.002681,1.584963,BK0199
monotherapy,1,1,0.002681,1.584963,BK0172
morphogenetic,1,1,0.002681,1.584963,BK0098
morphologically,1,1,0.002681,1.584963,BK0185
mount,1,1,0.002681,1.584963,BK0097
movement,1,1,0.002681,1.584963,BK0099
movements,1,1,0.002681,1.584963,BK0275
mowse,1,1,0.002681,1.584963,BK0337
mros,1,1,0.002681,1.584963,BK0097
msir,1,1,0.002681,1.584963,BK0263
mtdna,1,1,0.002681,1.584963,BK0185
mtorc1,1,1,0.002681,1.584963,BK0050
mucosa,1,1,0.002681,1.584963,BK0123
mucus,1,1,0.002681,1.584963,BK0101
multicellular,1,1,0.002681,1.584963,BK0180
multicore,1,1,0.002681,1.584963,BK0089
multidimensional,1,1,0.002681,1.584963,BK0003
multidomain,1,1,0.002681,1.584963,BK0373
multienzyme,1,1,0.002681,1.584963,BK0159
multifaceted,1,1,0.002681,1.584963,BK0086
multilayer,1,1,0.002681,1.584963,BK0028
multilayered,1,1,0.002681,1.584963,BK0084
multimeric,1,1,0.002681,1.584963,BK0291
multimerisation,1,1,0.002681,1.584963,BK0310
multiorgan,1,1,0.002681,1.584963,BK0330
multiprotein,1,1,0.002681,1.584963,BK0089
multisite,1,1,0.002681,1.584963,BK0041
multispecific,1,1,0.002681,1.584963,BK0255
multistep,1,1,0.002681,1.584963,BK0205
multivariate,1,1,0.002681,1.584963,BK0027
multivesicular,1,1,0.002681,1.584963,BK0326
murf1,1,1,0.002681,1.584963,BK0304
mutagens,1,1,0.002681,1.584963,BK0202
mutase,1,1,0.002681,1.584963,BK0239
mutate,1,1,0.002681,1.584963,BK0129
myc,1,1,0.002681,1.584963,BK0048
myofibrillar,1,1,0.002681,1.584963,BK0304
myogenesis,1,1,0.002681,1.584963,BK0083
myometrium,1,1,0.002681,1.584963,BK0011
myotube,1,1,0.002681,1.584963,BK0045
myotubes,1,1,0.002681,1.584963,BK0045
nadh,1,1,0.002681,1.584963,BK0303
naive,1,1,0.002681,1.584963,BK0349
name,1,1,0.002681,1.584963,BK0355
names,1,1,0.002681,1.584963,BK0238
nanoflow,1,1,0.002681,1.584963,BK0352
nanometer,1,1,0.002681,1.584963,BK0089
nanomole,1,1,0.002681,1.584963,BK0076
nanoscale,1,1,0.002681,1.584963,BK0243
narrow,1,1,0.002681,1.584963,BK0317
nascent,1,1,0.002681,1.584963,BK0224
nbs1,1,1,0.002681,1.584963,BK0158
nc2,1,1,0.002681,1.584963,BK0373
nc3,1,1,0.002681,1.584963,BK0373
nc4,1,1,0.002681,1.584963,BK0373
near,1,1,0.002681,1.584963,BK0165
nearby,1,1,0.002681,1.584963,BK0183
necessarily,1,1,0.002681,1.584963,BK0229
necessitating,1,1,0.002681,1.584963,BK0004
necropsied,1,1,0.002681,1.584963,BK0171
nedp1,1,1,0.002681,1.584963,BK0354
neighboring,1,1,0.002681,1.584963,BK0198
neoantigens,1,1,0.002681,1.584963,BK0311
neocortex,1,1,0.002681,1.584963,BK0177
neovasculature,1,1,0.002681,1.584963,BK0305
nephropathy,1,1,0.002681,1.584963,BK0254
neurite,1,1,0.002681,1.584963,BK0134
neurofilament,1,1,0.002681,1.584963,BK0122
neuroinflammatory,1,1,0.002681,1.584963,BK0122
neurol,1,1,0.002681,1.584963,BK0122
neurologic,1,1,0.002681,1.584963,BK0128
neuropathological,1,1,0.002681,1.584963,BK0063
neutralize,1,1,0.002681,1.584963,BK0144
neutralizes,1,1,0.002681,1.584963,BK0144
nfkb,1,1,0.002681,1.584963,BK0094
ngal,1,1,0.002681,1.584963,BK0049
niches,1,1,0.002681,1.584963,BK0150
nigra,1,1,0.002681,1.584963,BK0177
niks,1,1,0.002681,1.584963,BK0226
nk65,1,1,0.002681,1.584963,BK0137
nlvs,1,1,0.002681,1.584963,BK0365
no66,1,1,0.002681,1.584963,BK0264
nonclassical,1,1,0.002681,1.584963,BK0010
noncollagenous,1,1,0.002681,1.584963,BK0111
noncovalent,1,1,0.002681,1.584963,BK0018
nonessential,1,1,0.002681,1.584963,BK0246
nonfunctional,1,1,0.002681,1.584963,BK0064
nonhomologous,1,1,0.002681,1.584963,BK0026
noninvasive,1,1,0.002681,1.584963,BK0070
nonmuscle,1,1,0.002681,1.584963,BK0335
nonoxygenated,1,1,0.002681,1.584963,BK0070
nonpeptidic,1,1,0.002681,1.584963,BK0366
nonspecialists,1,1,0.002681,1.584963,BK0207
nonspecific,1,1,0.002681,1.584963,BK0087
normalize,1,1,0.002681,1.584963,BK0365
normothermically,1,1,0.002681,1.584963,BK0075
normoxic,1,1,0.002681,1.584963,BK0209
norspermidine,1,1,0.002681,1.584963,BK0109
norton,1,1,0.002681,1.584963,BK0111
norway,1,1,0.002681,1.584963,BK0221
note,1,1,0.002681,1.584963,BK0108
notion,1,1,0.002681,1.584963,BK0213
notoungulata,1,1,0.002681,1.584963,BK0199
notwithstanding,1,1,0.002681,1.584963,BK0044
noxious,1,1,0.002681,1.584963,BK0017
nsaf,1,1,0.002681,1.584963,BK0274
nuclease,1,1,0.002681,1.584963,BK0069
nucleases,1,1,0.002681,1.584963,BK0024
nucleated,1,1,0.002681,1.584963,BK0005
nucleolus,1,1,0.002681,1.584963,BK0245
nucleoprotein,1,1,0.002681,1.584963,BK0040
null,1,1,0.002681,1.584963,BK0246
nutrients,1,1,0.002681,1.584963,BK0059
nutritional,1,1,0.002681,1.584963,BK0059
obese,1,1,0.002681,1.584963,BK0308
obliterate,1,1,0.002681,1.584963,BK0364
obs,1,1,0.002681,1.584963,BK0168
obstruct,1,1,0.002681,1.584963,BK0178
obstruction,1,1,0.002681,1.584963,BK0088
occluded,1,1,0.002681,1.584963,BK0310
occlusion,1,1,0.002681,1.584963,BK0168
occupied,1,1,0.002681,1.584963,BK0262
occurrence,1,1,0.002681,1.584963,BK0152
octyl,1,1,0.002681,1.584963,BK0133
oculopharyngeal,1,1,0.002681,1.584963,BK0016
ofd1,1,1,0.002681,1.584963,BK0225
offgel,1,1,0.002681,1.584963,BK0282
offline,1,1,0.002681,1.584963,BK0038
offs,1,1,0.002681,1.584963,BK0241
oligomeric,1,1,0.002681,1.584963,BK0150
oligomers,1,1,0.002681,1.584963,BK0245
oligopeptidases,1,1,0.002681,1.584963,BK0365
omental,1,1,0.002681,1.584963,BK0051
oncogenes,1,1,0.002681,1.584963,BK0179
oncoproteins,1,1,0.002681,1.584963,BK0076
ongoing,1,1,0.002681,1.584963,BK0199
onto,1,1,0.002681,1.584963,BK0296
opened,1,1,0.002681,1.584963,BK0340
operator,1,1,0.002681,1.584963,BK0124
opsonized,1,1,0.002681,1.584963,BK0349
optimize,1,1,0.002681,1.584963,BK0138
optimizes,1,1,0.002681,1.584963,BK0159
option,1,1,0.002681,1.584963,BK0201
orchestrates,1,1,0.002681,1.584963,BK0184
orderly,1,1,0.002681,1.584963,BK0146
orf1,1,1,0.002681,1.584963,BK0080
org,1,1,0.002681,1.584963,BK0262
organelle,1,1,0.002681,1.584963,BK0118
organised,1,1,0.002681,1.584963,BK0209
organismal,1,1,0.002681,1.584963,BK0001
organized,1,1,0.002681,1.584963,BK0168
organotypic,1,1,0.002681,1.584963,BK0214
orientation,1,1,0.002681,1.584963,BK0193
oriented,1,1,0.002681,1.584963,BK0213
originally,1,1,0.002681,1.584963,BK0323
originated,1,1,0.002681,1.584963,BK0176
originating,1,1,0.002681,1.584963,BK0202
ornithine,1,1,0.002681,1.584963,BK0001
orthogonality,1,1,0.002681,1.584963,BK0159
orthologous,1,1,0.002681,1.584963,BK0261
orthoretroviruses,1,1,0.002681,1.584963,BK0001
os045,1,1,0.002681,1.584963,BK0263
osm,1,1,0.002681,1.584963,BK0050
osteosarcoma,1,1,0.002681,1.584963,BK0111
ostrich,1,1,0.002681,1.584963,BK0188
otop2,1,1,0.002681,1.584963,BK0101
otub,1,1,0.002681,1.584963,BK0317
otubains,1,1,0.002681,1.584963,BK0213
otus,1,1,0.002681,1.584963,BK0213
outlines,1,1,0.002681,1.584963,BK0346
outperformed,1,1,0.002681,1.584963,BK0093
outstanding,1,1,0.002681,1.584963,BK0177
ovary,1,1,0.002681,1.584963,BK0206
overcome,1,1,0.002681,1.584963,BK0254
overcomes,1,1,0.002681,1.584963,BK0251
overexpressing,1,1,0.002681,1.584963,BK0302
overlaps,1,1,0.002681,1.584963,BK0248
overload,1,1,0.002681,1.584963,BK0078
overlook,1,1,0.002681,1.584963,BK0021
overlooked,1,1,0.002681,1.584963,BK0024
oversee,1,1,0.002681,1.584963,BK0117
ovulation,1,1,0.002681,1.584963,BK0064
oxford,1,1,0.002681,1.584963,BK0124
oxfordshire,1,1,0.002681,1.584963,BK0124
oxidised,1,1,0.002681,1.584963,BK0148
p18,1,1,0.002681,1.584963,BK0128
p19,1,1,0.002681,1.584963,BK0220
p22,1,1,0.002681,1.584963,BK0198
p22077,1,1,0.002681,1.584963,BK0272
p56,1,1,0.002681,1.584963,BK0367
p66,1,1,0.002681,1.584963,BK0121
p85,1,1,0.002681,1.584963,BK0191
pa28,1,1,0.002681,1.584963,BK0312
pad,1,1,0.002681,1.584963,BK0181
pafc16,1,1,0.002681,1.584963,BK0208
paid,1,1,0.002681,1.584963,BK0324
painful,1,1,0.002681,1.584963,BK0150
palaeogene,1,1,0.002681,1.584963,BK0199
palaeontological,1,1,0.002681,1.584963,BK0188
palaeoproteome,1,1,0.002681,1.584963,BK0185
palaeoproteomic,1,1,0.002681,1.584963,BK0185
paleolithic,1,1,0.002681,1.584963,BK0185
paleoproteomic,1,1,0.002681,1.584963,BK0111
palmitic,1,1,0.002681,1.584963,BK0043
pan,1,1,0.002681,1.584963,BK0100
pancreata,1,1,0.002681,1.584963,BK0299
panels,1,1,0.002681,1.584963,BK0298
panobinostat,1,1,0.002681,1.584963,BK0158
papain,1,1,0.002681,1.584963,BK0356
papillary,1,1,0.002681,1.584963,BK0271
paradigmatic,1,1,0.002681,1.584963,BK0087
paradoxical,1,1,0.002681,1.584963,BK0072
paralleling,1,1,0.002681,1.584963,BK0329
paralog,1,1,0.002681,1.584963,BK0121
paralogue,1,1,0.002681,1.584963,BK0130
parameter,1,1,0.002681,1.584963,BK0129
paraphyletic,1,1,0.002681,1.584963,BK0199
parasitemia,1,1,0.002681,1.584963,BK0239
parasites,1,1,0.002681,1.584963,BK0120
parasitic,1,1,0.002681,1.584963,BK0239
parenchyma,1,1,0.002681,1.584963,BK0137
park,1,1,0.002681,1.584963,BK0160
parkinsons,1,1,0.002681,1.584963,BK0122
parp1,1,1,0.002681,1.584963,BK0178
parsimonious,1,1,0.002681,1.584963,BK0037
participants,1,1,0.002681,1.584963,BK0068
participate,1,1,0.002681,1.584963,BK0173
partly,1,1,0.002681,1.584963,BK0177
patent,1,1,0.002681,1.584963,BK0227
patenting,1,1,0.002681,1.584963,BK0227
paternity,1,1,0.002681,1.584963,BK0098
path,1,1,0.002681,1.584963,BK0275
pathophysiologically,1,1,0.002681,1.584963,BK0223
pausing,1,1,0.002681,1.584963,BK0099
pcdgf,1,1,0.002681,1.584963,BK0321
pcgf1,1,1,0.002681,1.584963,BK0231
pcna,1,1,0.002681,1.584963,BK0132
pdgf,1,1,0.002681,1.584963,BK0322
pdzbm,1,1,0.002681,1.584963,BK0115
peaks,1,1,0.002681,1.584963,BK0106
peanut,1,1,0.002681,1.584963,BK0266
pentameric,1,1,0.002681,1.584963,BK0082
pentose,1,1,0.002681,1.584963,BK0208
people,1,1,0.002681,1.584963,BK0027
peptidoglycan,1,1,0.002681,1.584963,BK0097
peptidome,1,1,0.002681,1.584963,BK0204
percent,1,1,0.002681,1.584963,BK0173
percentages,1,1,0.002681,1.584963,BK0218
perception,1,1,0.002681,1.584963,BK0017
performances,1,1,0.002681,1.584963,BK0003
perfusates,1,1,0.002681,1.584963,BK0008
periphery,1,1,0.002681,1.584963,BK0090
perissodactyla,1,1,0.002681,1.584963,BK0199
permanent,1,1,0.002681,1.584963,BK0368
permanently,1,1,0.002681,1.584963,BK0174
permeability,1,1,0.002681,1.584963,BK0046
permeable,1,1,0.002681,1.584963,BK0309
permissive,1,1,0.002681,1.584963,BK0140
permitting,1,1,0.002681,1.584963,BK0242
peroxidase,1,1,0.002681,1.584963,BK0030
peroxidation,1,1,0.002681,1.584963,BK0078
peroxisome,1,1,0.002681,1.584963,BK0198
persisted,1,1,0.002681,1.584963,BK0032
persistence,1,1,0.002681,1.584963,BK0172
persisting,1,1,0.002681,1.584963,BK0015
person,1,1,0.002681,1.584963,BK0117
perturb,1,1,0.002681,1.584963,BK0360
petechial,1,1,0.002681,1.584963,BK0138
pf08,1,1,0.002681,1.584963,BK0266
pf10,1,1,0.002681,1.584963,BK0239
pf11,1,1,0.002681,1.584963,BK0239
pf13,1,1,0.002681,1.584963,BK0239
pf14,1,1,0.002681,1.584963,BK0239
pfhprt,1,1,0.002681,1.584963,BK0239
pgam5,1,1,0.002681,1.584963,BK0007
pgf,1,1,0.002681,1.584963,BK0043
phac1,1,1,0.002681,1.584963,BK0343
phagocytic,1,1,0.002681,1.584963,BK0356
phagosomes,1,1,0.002681,1.584963,BK0356
pharmaceutical,1,1,0.002681,1.584963,BK0173
pharmacokinetics,1,1,0.002681,1.584963,BK0022
pharmacologic,1,1,0.002681,1.584963,BK0339
phas,1,1,0.002681,1.584963,BK0343
phases,1,1,0.002681,1.584963,BK0298
phe,1,1,0.002681,1.584963,BK0183
phenocopying,1,1,0.002681,1.584963,BK0076
phonologically,1,1,0.002681,1.584963,BK0139
phosphoacceptor,1,1,0.002681,1.584963,BK0195
phosphocreatine,1,1,0.002681,1.584963,BK0095
phosphodegron,1,1,0.002681,1.584963,BK0353
phosphodiesterase,1,1,0.002681,1.584963,BK0090
phosphoenolpyruvate,1,1,0.002681,1.584963,BK0075
phosphoenrichment,1,1,0.002681,1.584963,BK0182
phosphofructokinase,1,1,0.002681,1.584963,BK0095
phosphoglycerate,1,1,0.002681,1.584963,BK0239
phosphoinositide,1,1,0.002681,1.584963,BK0198
phospholipase,1,1,0.002681,1.584963,BK0333
phosphopeptide,1,1,0.002681,1.584963,BK0182
phosphoproteomic,1,1,0.002681,1.584963,BK0170
phosphoribosyltransferase,1,1,0.002681,1.584963,BK0239
phosphotau,1,1,0.002681,1.584963,BK0020
phosphotyrosine,1,1,0.002681,1.584963,BK0291
photoactivatable,1,1,0.002681,1.584963,BK0367
photoactivated,1,1,0.002681,1.584963,BK0284
photophysical,1,1,0.002681,1.584963,BK0006
photosynthesis,1,1,0.002681,1.584963,BK0250
phox,1,1,0.002681,1.584963,BK0198
phylogenetic,1,1,0.002681,1.584963,BK0185
phylogenetically,1,1,0.002681,1.584963,BK0199
phylogenies,1,1,0.002681,1.584963,BK0199
phylogeny,1,1,0.002681,1.584963,BK0199
phylum,1,1,0.002681,1.584963,BK0120
physically,1,1,0.002681,1.584963,BK0069
physicochemical,1,1,0.002681,1.584963,BK0248
pitfall,1,1,0.002681,1.584963,BK0114
pitfalls,1,1,0.002681,1.584963,BK0174
pkc,1,1,0.002681,1.584963,BK0094
plac,1,1,0.002681,1.584963,BK0343
placed,1,1,0.002681,1.584963,BK0140
placentation,1,1,0.002681,1.584963,BK0263
placing,1,1,0.002681,1.584963,BK0193
plan,1,1,0.002681,1.584963,BK0124
planar,1,1,0.002681,1.584963,BK0102
plasmids,1,1,0.002681,1.584963,BK0331
plasminogen,1,1,0.002681,1.584963,BK0302
plastically,1,1,0.002681,1.584963,BK0106
plateaued,1,1,0.002681,1.584963,BK0159
plausible,1,1,0.002681,1.584963,BK0187
pld3,1,1,0.002681,1.584963,BK0208
please,1,1,0.002681,1.584963,BK0030
pleistocene,1,1,0.002681,1.584963,BK0185
plexus,1,1,0.002681,1.584963,BK0145
pluripotency,1,1,0.002681,1.584963,BK0246
pluripotent,1,1,0.002681,1.584963,BK0167
pneumococcal,1,1,0.002681,1.584963,BK0219
pockets,1,1,0.002681,1.584963,BK0360
polar,1,1,0.002681,1.584963,BK0166
polyacrylamide,1,1,0.002681,1.584963,BK0337
polyfunctional,1,1,0.002681,1.584963,BK0220
polygenic,1,1,0.002681,1.584963,BK0221
polymer,1,1,0.002681,1.584963,BK0234
polymerases,1,1,0.002681,1.584963,BK0343
polymeric,1,1,0.002681,1.584963,BK0337
polymerized,1,1,0.002681,1.584963,BK0301
polymerizes,1,1,0.002681,1.584963,BK0168
polyotulin,1,1,0.002681,1.584963,BK0147
polystyrene,1,1,0.002681,1.584963,BK0337
polyub,1,1,0.002681,1.584963,BK0338
polyubiquitinated,1,1,0.002681,1.584963,BK0365
polyubiquitylates,1,1,0.002681,1.584963,BK0269
polyvalent,1,1,0.002681,1.584963,BK0217
poorer,1,1,0.002681,1.584963,BK0209
porss,1,1,0.002681,1.584963,BK0163
portion,1,1,0.002681,1.584963,BK0366
poses,1,1,0.002681,1.584963,BK0032
positives,1,1,0.002681,1.584963,BK0205
possess,1,1,0.002681,1.584963,BK0364
possessed,1,1,0.002681,1.584963,BK0341
possesses,1,1,0.002681,1.584963,BK0036
possibilities,1,1,0.002681,1.584963,BK0264
postendocytic,1,1,0.002681,1.584963,BK0010
postnatal,1,1,0.002681,1.584963,BK0128
postoperatively,1,1,0.002681,1.584963,BK0014
postponable,1,1,0.002681,1.584963,BK0086
posttranscriptional,1,1,0.002681,1.584963,BK0158
posttranslationally,1,1,0.002681,1.584963,BK0187
postulated,1,1,0.002681,1.584963,BK0078
potentiate,1,1,0.002681,1.584963,BK0259
potentiated,1,1,0.002681,1.584963,BK0111
potentiates,1,1,0.002681,1.584963,BK0034
potently,1,1,0.002681,1.584963,BK0195
power,1,1,0.002681,1.584963,BK0243
ppgm,1,1,0.002681,1.584963,BK0239
ppps,1,1,0.002681,1.584963,BK0004
practical,1,1,0.002681,1.584963,BK0227
practices,1,1,0.002681,1.584963,BK0138
prcc,1,1,0.002681,1.584963,BK0271
prdx1,1,1,0.002681,1.584963,BK0081
preceded,1,1,0.002681,1.584963,BK0362
preconditioning,1,1,0.002681,1.584963,BK0247
predefined,1,1,0.002681,1.584963,BK0159
predilection,1,1,0.002681,1.584963,BK0257
predisposing,1,1,0.002681,1.584963,BK0218
predominately,1,1,0.002681,1.584963,BK0128
preeclampsia,1,1,0.002681,1.584963,BK0263
preferences,1,1,0.002681,1.584963,BK0195
preferential,1,1,0.002681,1.584963,BK0286
prefers,1,1,0.002681,1.584963,BK0118
prefiltered,1,1,0.002681,1.584963,BK0281
preformed,1,1,0.002681,1.584963,BK0367
prefractionation,1,1,0.002681,1.584963,BK0159
pregnancy,1,1,0.002681,1.584963,BK0263
preimplantation,1,1,0.002681,1.584963,BK0047
preincubation,1,1,0.002681,1.584963,BK0367
premise,1,1,0.002681,1.584963,BK0042
preoperatively,1,1,0.002681,1.584963,BK0014
preparative,1,1,0.002681,1.584963,BK0282
preserve,1,1,0.002681,1.584963,BK0110
pressures,1,1,0.002681,1.584963,BK0197
presymptomatic,1,1,0.002681,1.584963,BK0057
pride,1,1,0.002681,1.584963,BK0038
prime,1,1,0.002681,1.584963,BK0127
principles,1,1,0.002681,1.584963,BK0323
prion,1,1,0.002681,1.584963,BK0223
prioritized,1,1,0.002681,1.584963,BK0086
priory,1,1,0.002681,1.584963,BK0111
prmt,1,1,0.002681,1.584963,BK0319
probability,1,1,0.002681,1.584963,BK0106
probable,1,1,0.002681,1.584963,BK0219
probing,1,1,0.002681,1.584963,BK0307
problem,1,1,0.002681,1.584963,BK0254
problems,1,1,0.002681,1.584963,BK0086
proceeds,1,1,0.002681,1.584963,BK0092
produces,1,1,0.002681,1.584963,BK0274
producing,1,1,0.002681,1.584963,BK0168
profibrotic,1,1,0.002681,1.584963,BK0116
profoundly,1,1,0.002681,1.584963,BK0119
progenesis,1,1,0.002681,1.584963,BK0274
programmed,1,1,0.002681,1.584963,BK0041
programs,1,1,0.002681,1.584963,BK0173
progressions,1,1,0.002681,1.584963,BK0146
projects,1,1,0.002681,1.584963,BK0346
prokaryotes,1,1,0.002681,1.584963,BK0264
proliferate,1,1,0.002681,1.584963,BK0126
proliferated,1,1,0.002681,1.584963,BK0036
promiscuous,1,1,0.002681,1.584963,BK0278
promotion,1,1,0.002681,1.584963,BK0244
prompted,1,1,0.002681,1.584963,BK0271
promptly,1,1,0.002681,1.584963,BK0239
prompts,1,1,0.002681,1.584963,BK0320
prone,1,1,0.002681,1.584963,BK0205
proof,1,1,0.002681,1.584963,BK0148
propagated,1,1,0.002681,1.584963,BK0295
propagates,1,1,0.002681,1.584963,BK0360
propagation,1,1,0.002681,1.584963,BK0108
prophylactic,1,1,0.002681,1.584963,BK0298
proportionally,1,1,0.002681,1.584963,BK0129
proportions,1,1,0.002681,1.584963,BK0080
proposals,1,1,0.002681,1.584963,BK0288
prostaglandin,1,1,0.002681,1.584963,BK0043
prostaglandins,1,1,0.002681,1.584963,BK0248
prostatic,1,1,0.002681,1.584963,BK0211
proteasomally,1,1,0.002681,1.584963,BK0291
protecting,1,1,0.002681,1.584963,BK0201
proteinopathies,1,1,0.002681,1.584963,BK0063
proteotoxic,1,1,0.002681,1.584963,BK0283
protomer,1,1,0.002681,1.584963,BK0358
protomers,1,1,0.002681,1.584963,BK0358
proton,1,1,0.002681,1.584963,BK0101
protozoa,1,1,0.002681,1.584963,BK0323
protozoan,1,1,0.002681,1.584963,BK0239
protraction,1,1,0.002681,1.584963,BK0209
prove,1,1,0.002681,1.584963,BK0054
proves,1,1,0.002681,1.584963,BK0313
proving,1,1,0.002681,1.584963,BK0032
prr,1,1,0.002681,1.584963,BK0170
prrs,1,1,0.002681,1.584963,BK0054
ps341,1,1,0.002681,1.584963,BK0339
pseudotuberculosis,1,1,0.002681,1.584963,BK0306
pseudovirus,1,1,0.002681,1.584963,BK0217
pslb,1,1,0.002681,1.584963,BK0102
psoriasis,1,1,0.002681,1.584963,BK0275
ptgr1,1,1,0.002681,1.584963,BK0078
ptpns,1,1,0.002681,1.584963,BK0310
publicly,1,1,0.002681,1.584963,BK0077
pubmed,1,1,0.002681,1.584963,BK0002
pulchellus,1,1,0.002681,1.584963,BK0144
punctually,1,1,0.002681,1.584963,BK0224
puncture,1,1,0.002681,1.584963,BK0351
pups,1,1,0.002681,1.584963,BK0128
purine,1,1,0.002681,1.584963,BK0008
purposes,1,1,0.002681,1.584963,BK0094
pursue,1,1,0.002681,1.584963,BK0316
pursuit,1,1,0.002681,1.584963,BK0137
put,1,1,0.002681,1.584963,BK0067
putrescine,1,1,0.002681,1.584963,BK0109
putting,1,1,0.002681,1.584963,BK0336
pxd009578,1,1,0.002681,1.584963,BK0128
pxd009738,1,1,0.002681,1.584963,BK0132
pxd020510,1,1,0.002681,1.584963,BK0093
pxd067060,1,1,0.002681,1.584963,BK0020
pycard,1,1,0.002681,1.584963,BK0067
pygl,1,1,0.002681,1.584963,BK0039
pyrrolidine,1,1,0.002681,1.584963,BK0092
pyruvate,1,1,0.002681,1.584963,BK0166
quadrupole,1,1,0.002681,1.584963,BK0241
quantifiable,1,1,0.002681,1.584963,BK0014
quantifying,1,1,0.002681,1.584963,BK0103
quantitate,1,1,0.002681,1.584963,BK0316
quantitating,1,1,0.002681,1.584963,BK0243
quaternary,1,1,0.002681,1.584963,BK0199
query,1,1,0.002681,1.584963,BK0173
quick,1,1,0.002681,1.584963,BK0235
r837,1,1,0.002681,1.584963,BK0240
rac1,1,1,0.002681,1.584963,BK0198
race,1,1,0.002681,1.584963,BK0173
rack1,1,1,0.002681,1.584963,BK0317
rad50,1,1,0.002681,1.584963,BK0158
radicals,1,1,0.002681,1.584963,BK0329
radio,1,1,0.002681,1.584963,BK0364
radioiodinated,1,1,0.002681,1.584963,BK0354
radiolabeled,1,1,0.002681,1.584963,BK0342
radiosensitive,1,1,0.002681,1.584963,BK0119
raised,1,1,0.002681,1.584963,BK0315
ramping,1,1,0.002681,1.584963,BK0282
randomized,1,1,0.002681,1.584963,BK0292
ranging,1,1,0.002681,1.584963,BK0225
ras,1,1,0.002681,1.584963,BK0306
rated,1,1,0.002681,1.584963,BK0139
